area,year,yearFormatted,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,Comp. Score
Bihar,2020–21,2021,32,31,66,29,48,91,78,50,24,48,67,59,16,,62,73,52
Bihar,2019,2019,33,26,44,19,40,81,62,64,47,74,50,47,43,,54,64,50
Bihar,2018,2018,45,39,40,36,24,31,67,58,38,82,43,,,,56,60,48
Chandigarh,2023–24,2024,70,71,89,84,48,99,100,77,55,75,100,59,80,,80,75,79
Chhattisgarh,2023–24,2024,70,40,56,63,51,93,87,67,39,72,79,95,47,,78,71,61
Chhattisgarh,2020–21,2021,49,37,60,55,64,89,78,64,36,72,78,64,38,,65,71,61
Chhattisgarh,2019,2019,49,27,52,52,43,92,56,67,38,60,49,58,29,,97,71,56
Chhattisgarh,2018,2018,50,46,42,53,49,98,36,56,30,73,54,,,,100,65,58
Dadra and Nagar Haveli,2019,2019,33,45,57,53,44,91,80,63,100,57,41,65,41,,100,80,63
Dadra and Nagar Haveli,2018,2018,21,40,32,77,41,100,73,84,0,100,6,,,,100,63,57
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,89,22,70,67,41,73,52,73,55,71,89,76,38,,99,80,66
Dadra and Nagar Haveli and Daman and Diu,2020–21,2021,65,27,80,56,53,95,71,57,47,66,89,62,18,,62,75,62
Daman and Diu,2019,2019,58,12,50,43,39,96,81,54,100,80,54,41,46,,89,76,61
Daman and Diu,2018,2018,58,42,47,46,38,99,84,91,0,100,49,,,,84,79,63
Delhi,2023–24,2024,67,80,93,85,60,86,100,58,75,56,75,43,49,,68,51,68
Delhi,2020–21,2021,81,63,90,75,33,61,100,65,66,72,65,50,55,,81,62,68
Delhi,2019,2019,54,56,54,64,27,61,96,60,100,69,63,39,30,,82,64,61
Delhi,2018,2018,30,72,47,58,37,62,51,86,100,80,39,,,,77,68,62
Goa,2023–24,2024,79,74,79,72,61,100,100,74,76,87,85,47,54,,79,83,72
Goa,2020–21,2021,83,78,72,71,55,100,100,76,68,75,89,47,44,,59,63,72
Goa,2019,2019,53,76,60,71,46,77,95,71,45,19,79,63,41,,99,79,65
Goa,2018,2018,62,80,65,71,35,65,61,90,0,50,71,,,,100,87,64
Gujarat,2023–24,2024,75,41,90,58,52,98,98,76,61,69,94,67,74,,76,87,69
Gujarat,2020–21,2021,66,46,86,52,49,93,94,64,72,64,87,50,67,,61,82,69
Gujarat,2019,2019,47,39,67,47,36,92,75,75,88,59,77,33,63,,77,86,64
Gujarat,2018,2018,48,49,52,67,31,100,67,80,65,79,52,,,,71,73,64
Haryana,2023–24,2024,67,75,73,77,46,80,100,69,72,73,86,71,60,,65,67,67
Haryana,2020–21,2021,69,58,72,64,43,80,100,59,66,68,81,77,51,,48,71,67
Haryana,2019,2019,47,43,65,68,36,81,77,71,73,54,49,39,34,,40,76,57
Haryana,2018,2018,50,53,57,65,31,80,50,72,50,55,30,,,,43,78,55
Himachal Pradesh,2023–24,2024,71,51,83,77,62,99,100,88,59,80,77,78,62,,78,85,74
Himachal Pradesh,2020–21,2021,80,52,78,74,62,85,100,78,61,78,79,77,62,,68,73,74
Himachal Pradesh,2019,2019,60,44,67,81,52,82,64,76,70,78,79,52,61,,92,84,69
Himachal Pradesh,2018,2018,60,58,62,82,42,95,62,71,43,98,41,,,,93,91,69
Jammu and Kashmir,2023–24,2024,64,73,78,56,53,86,100,78,59,74,82,87,71,,61,81,66
Jammu and Kashmir,2020–21,2021,69,71,70,49,46,88,100,47,42,65,57,95,63,,52,74,66
Jammu and Kashmir,2019,2019,58,55,62,54,53,85,76,46,49,47,33,61,59,,74,69,59
Jammu and Kashmir,2018,2018,61,60,53,51,39,52,58,43,35,71,23,,,,74,69,53
Jharkhand,2023–24,2024,56,28,77,61,42,86,70,64,53,59,74,71,30,,95,60,56
Jharkhand,2020–21,2021,36,19,74,45,51,83,77,54,37,65,71,55,25,,71,70,56
Jharkhand,2019,2019,28,22,55,42,34,78,50,70,70,64,57,36,27,,99,67,53
Jharkhand,2018,2018,37,35,40,58,32,51,20,52,47,72,52,,,,96,64,50
Karnataka,2023–24,2024,73,56,80,63,51,90,100,86,62,69,85,85,73,,70,81,72
Karnataka,2020–21,2021,68,53,78,64,57,85,100,66,64,67,78,89,62,,67,76,72
Karnataka,2019,2019,49,37,72,67,42,88,86,78,40,70,48,72,71,,89,75,66
Karnataka,2018,2018,52,54,69,76,43,62,77,72,57,68,36,,,,88,74,64
Kerala,2023–24,2024,81,84,80,82,66,87,100,74,69,71,84,53,80,,88,82,75
Kerala,2020–21,2021,83,80,72,80,63,89,100,62,60,69,75,65,69,,77,80,75
Kerala,2019,2019,64,74,82,74,51,77,70,61,88,75,51,57,56,,98,77,70
Kerala,2018,2018,66,72,92,87,50,62,60,61,68,72,46,,,,75,82,69
Ladakh,2023–24,2024,79,57,67,53,63,95,100,86,43,49,33,50,63,,42,90,66
Ladakh,2020–21,2021,79,71,70,49,46,84,100,59,48,65,57,95,66,,27,74,66
Lakshadweep,2023–24,2024,83,83,69,67,65,95,83,63,48,70,50,64,13,,55,81,68
Lakshadweep,2020–21,2021,61,74,78,62,58,100,83,62,40,75,56,63,68,,67,77,68
Lakshadweep,2019,2019,56,57,58,62,37,69,43,43,0,93,,75,100,,100,82,63
Lakshadweep,2018,2018,43,47,64,62,35,100,60,60,0,100,0,,,,100,74,62
Madhya Pradesh,2023–24,2024,67,48,56,49,48,87,90,64,39,54,86,92,63,,90,73,62
Madhya Pradesh,2020–21,2021,44,43,62,45,55,88,86,60,37,51,81,78,49,,84,66,62
Madhya Pradesh,2019,2019,40,24,50,54,45,92,62,67,44,68,55,58,47,,94,63,58
Madhya Pradesh,2018,2018,44,41,38,49,33,63,58,57,27,75,39,,,,91,59,52
Maharashtra,2023–24,2024,69,45,84,67,53,93,100,73,58,66,98,77,73,,68,76,70
Maharashtra,2020–21,2021,66,44,83,64,51,90,100,62,66,71,87,82,58,,52,69,70
Maharashtra,2019,2019,47,34,76,65,41,93,82,70,59,70,45,71,50,,85,72,64
Maharashtra,2018,2018,47,47,60,74,43,81,69,74,53,76,34,,,,86,82,64
Manipur,2023–24,2024,74,77,75,65,45,83,88,57,62,79,83,67,71,,83,69,64
Manipur,2020–21,2021,60,64,68,63,41,87,96,36,35,70,65,89,57,,60,69,64
Manipur,2019,2019,42,69,62,70,34,87,72,27,43,81,28,85,37,,100,70,60
Manipur,2018,2018,44,74,67,65,25,44,39,33,72,98,31,,,,100,70,59
Meghalaya,2023–24,2024,63,52,71,40,58,80,62,57,44,77,42,76,80,,71,66,60
Meghalaya,2020–21,2021,77,37,70,48,51,75,50,63,25,88,51,73,62,,64,72,60
Meghalaya,2019,2019,68,35,53,55,34,70,52,65,22,76,22,60,36,,99,59,54
Meghalaya,2018,2018,68,43,52,38,36,40,11,62,42,100,39,,,,94,53,52
Mizoram,2023–24,2024,74,76,69,65,69,94,100,81,55,43,70,57,79,,67,84,68
Mizoram,2020–21,2021,80,72,79,60,54,85,100,51,32,64,61,87,66,,48,81,68
Mizoram,2019,2019,67,75,52,61,37,81,81,42,8,66,33,50,45,,75,63,56
Mizoram,2018,2018,71,69,53,54,43,67,78,65,0,100,32,,,,69,71,59
Nagaland,2023–24,2024,63,60,63,46,74,86,50,76,50,55,38,59,79,,74,65,61
Nagaland,2020–21,2021,73,64,61,39,48,87,69,48,30,46,48,91,69,,63,79,61
Nagaland,2019,2019,56,70,29,47,42,75,70,28,23,61,23,100,51,,94,84,57
Nagaland,2018,2018,59,69,34,45,42,58,45,40,0,80,32,,,,75,87,51
Odisha,2023–24,2024,73,45,73,40,39,88,84,75,48,64,74,85,64,,76,62,61
Odisha,2020–21,2021,41,42,67,45,46,86,80,48,46,66,70,73,70,,83,59,61
Odisha,2019,2019,47,34,61,40,35,85,50,59,72,69,51,44,69,,99,61,58
Odisha,2018,2018,59,46,54,46,43,46,23,53,32,78,34,,,,100,55,51
Puducherry,2023–24,2024,58,84,65,76,64,98,100,67,76,80,72,60,48,,76,79,68
Puducherry,2020–21,2021,75,59,70,70,66,91,98,68,59,62,76,66,23,,50,86,68
Puducherry,2019,2019,56,71,71,67,35,86,97,58,86,92,53,43,39,,37,94,66
Puducherry,2018,2018,61,71,66,69,27,45,61,85,100,94,27,,,,50,92,65
Punjab,2023–24,2024,84,83,79,75,47,74,100,68,69,77,94,76,66,,65,81,68
Punjab,2020–21,2021,69,73,77,60,45,66,100,57,69,68,91,71,51,,48,76,68
Punjab,2019,2019,48,61,71,67,46,74,89,65,69,50,61,35,57,,59,83,62
Punjab,2018,2018,56,71,71,63,43,60,61,57,48,62,36,,,,67,84,60
Rajasthan,2023–24,2024,82,64,73,63,52,60,100,65,53,49,75,89,62,,54,70,60
Rajasthan,2020–21,2021,63,53,70,60,39,54,100,57,45,45,81,74,49,,43,73,60
Rajasthan,2019,2019,56,35,58,51,39,76,61,65,38,70,61,30,60,,75,76,57
Rajasthan,2018,2018,59,45,49,73,37,43,63,57,62,79,45,,,,68,81,59
Sikkim,2023–24,2024,66,77,66,67,65,97,83,84,55,80,88,75,81,,72,80,71
Sikkim,2020–21,2021,80,69,62,58,58,89,100,71,52,61,85,76,65,,73,72,71
Sikkim,2019,2019,65,66,59,58,49,79,97,68,27,64,74,60,38,,100,69,65
Sikkim,2018,2018,64,67,52,47,50,78,47,57,1,67,56,,,,98,66,58
Tamil Nadu,2023–24,2024,92,75,77,76,53,90,100,81,67,76,81,78,81,,72,78,74
Tamil Nadu,2020–21,2021,86,66,81,69,59,87,100,71,71,74,79,78,61,,63,71,74
Tamil Nadu,2019,2019,72,48,76,70,40,90,90,74,53,65,51,63,45,,91,78,67
Tamil Nadu,2018,2018,76,61,77,75,38,66,89,71,46,85,33,,,,74,61,66
Telangana,2023–24,2024,91,58,73,64,49,90,100,84,60,65,86,75,59,,82,67,69
Telangana,2020–21,2021,68,50,67,63,41,96,100,73,59,67,76,73,43,,81,71,69
Telangana,2019,2019,52,36,66,64,26,84,93,82,61,94,62,58,66,,88,77,67
Tripura,2023–24,2024,71,63,79,52,45,82,74,74,39,77,80,99,51,,95,82,65
Tripura,2020–21,2021,82,52,67,42,39,82,83,57,35,85,67,99,41,,69,80,65
Tripura,2019,2019,70,49,61,55,32,69,56,63,48,45,31,92,37,,88,73,58
Tripura,2018,2018,71,58,53,56,38,38,32,52,38,89,38,,,,86,71,55
Uttar Pradesh,2023–24,2024,57,50,61,54,42,92,100,60,53,66,82,85,52,,70,77,60
Uttar Pradesh,2020–21,2021,44,41,60,51,50,83,100,53,42,41,77,79,39,,61,79,60
Uttar Pradesh,2019,2019,40,31,34,48,41,94,63,64,63,46,56,62,48,,62,69,55
Uttar Pradesh,2018,2018,48,43,25,53,27,55,23,55,29,38,37,,,,55,61,42
Uttarakhand,2023–24,2024,83,66,84,73,56,94,100,80,62,69,89,86,71,,94,81,72
Uttarakhand,2020–21,2021,74,61,77,70,46,85,100,63,56,77,76,82,60,,64,86,72
Uttarakhand,2019,2019,64,45,58,66,38,90,78,73,55,59,51,50,59,,95,85,64
Uttarakhand,2018,2018,65,53,36,68,41,78,55,67,33,62,41,,,,100,86,60
West Bengal,2023–24,2024,63,56,79,60,45,86,100,63,66,70,54,94,44,,91,82,62
West Bengal,2020–21,2021,59,46,76,54,41,81,98,57,53,71,45,79,39,,53,81,62
West Bengal,2019,2019,52,40,70,50,38,83,58,72,68,73,34,57,37,,88,73,60
West Bengal,2018,2018,57,50,66,51,40,54,40,63,45,76,25,,,,88,72,56
