area,year,yearFormatted,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,Comp. Score
Target,2023–24,2024,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100
India,2023–24,2024,72,52,77,61,49,89,96,68,61,65,83,78,67,,75,74,66
India,2020–21,2021,60,47,74,57,48,83,92,61,55,67,79,74,54,,66,74,66
India,2019,2019,50,35,61,58,42,88,70,64,65,64,53,55,60,,66,72,60
India,2018,2018,54,48,52,58,36,63,51,65,44,71,39,,,,90,71,57
Andaman and Nicobar Islands,2023–24,2024,60,69,69,63,60,100,100,72,50,79,81,64,26,,94,65,67
Andaman and Nicobar Islands,2020–21,2021,71,45,68,57,68,87,100,59,23,67,85,73,77,,72,46,67
Andaman and Nicobar Islands,2019,2019,48,38,65,61,48,85,73,55,13,94,47,69,72,,85,65,61
Andaman and Nicobar Islands,2018,2018,57,38,60,69,58,71,56,60,0,69,64,,,,84,72,58
Andhra Pradesh,2023–24,2024,86,67,78,52,51,91,100,69,49,67,85,93,70,,77,79,72
Andhra Pradesh,2020–21,2021,81,52,77,50,58,92,100,67,52,74,78,84,63,,69,77,72
Andhra Pradesh,2019,2019,69,35,76,52,37,96,86,78,66,68,36,57,70,,86,86,67
Andhra Pradesh,2018,2018,67,50,68,77,44,59,76,81,31,75,26,,,,87,90,64
Arunachal Pradesh,2023–24,2024,49,81,70,52,54,85,74,75,28,67,46,90,61,,80,63,60
Arunachal Pradesh,2020–21,2021,54,66,64,41,37,67,85,50,31,69,39,77,58,,93,64,60
Arunachal Pradesh,2019,2019,34,66,50,58,33,88,74,52,31,38,43,67,31,,71,62,53
Arunachal Pradesh,2018,2018,52,58,38,44,32,64,44,72,16,47,44,,,,73,77,51
Assam,2023–24,2024,75,47,60,41,42,85,100,63,44,68,59,75,59,,91,67,57
Assam,2020–21,2021,51,41,59,43,25,64,98,50,39,65,55,66,53,,78,62,57
Assam,2019,2019,48,39,44,44,33,78,70,62,46,67,40,68,47,,90,52,55
Assam,2018,2018,53,53,30,54,36,42,18,61,35,75,32,,,,100,53,49
Bihar,2023–24,2024,39,24,67,32,44,98,81,54,53,56,57,74,34,,73,68,52
