area,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 15,SDG 16,Composite Score,year,Indicator 1,Indicator 2,Indicator 3
Tripura,71,63,79,52,45,82,74,74,39,77,80,99,51,95,82,65,2023–24,44.97,63.98,46.89
Uttar Pradesh,57,50,61,54,42,92,100,60,53,66,82,85,52,70,77,60,2023–24,33.89,49.05,89.33
Uttarākhand,83,66,84,73,56,94,100,80,62,69,89,86,71,94,81,72,2023–24,39.35,90.78,43.70
West Bengal,63,56,79,60,45,86,100,63,66,70,54,94,44,91,82,62,2023–24,73.71,23.18,97.36
Andaman and Nicobar Islands,60,69,69,63,60,100,100,72,50,79,81,64,26,94,65,67,2023–24,82.32,39.60,30.27
Chhattīsgarh,70,71,89,84,48,99,100,77,55,75,100,59,80,80,75,79,2023–24,21.47,46.07,33.10
Dādra and Nagar Haveli and Damān and Diu,89,22,70,67,41,73,52,73,55,71,89,76,38,99,80,66,2023–24,8.45,71.72,98.33
Delhi,67,80,93,85,60,86,100,58,75,56,75,43,49,68,51,68,2023–24,74.73,9.16,66.38
Jammu and Kashmīr,64,73,78,56,53,86,100,78,59,74,82,87,71,61,81,66,2023–24,70.77,40.27,58.65
Ladākh,79,57,67,53,63,95,100,86,43,49,33,50,63,42,90,66,2023–24,96.08,24.12,28.18
Lakshadweep,83,83,69,67,65,95,83,63,48,70,50,64,13,55,81,68,2023–24,4.37,62.72,91.57
Puducherry,58,84,65,76,64,98,100,67,76,80,72,60,48,76,79,68,2023–24,0.51,24.24,82.32
India,72,52,77,61,49,89,96,68,61,65,83,78,67,75,74,66,2023–24,61.91,18.97,2.47
Andhra Pradesh,81,52,77,50,58,92,100,67,52,74,78,84,63,69,77,72,2020-21,32.10,19.41,83.29
Arunāchal Pradesh,54,66,64,41,37,67,85,50,31,69,39,77,58,93,64,60,2020-21,54.94,56.50,81.27
Assam,51,41,59,43,25,64,98,50,39,65,55,66,53,78,62,57,2020-21,86.87,42.65,22.26
Bihār,32,31,66,29,48,91,78,50,24,48,67,59,16,62,73,52,2020-21,25.32,38.79,72.94
Chhattisgarh,49,37,60,55,64,89,78,64,36,72,78,64,38,65,71,61,2020-21,37.22,40.68,88.65
Goa,83,78,72,71,55,100,100,76,68,75,89,47,44,59,63,72,2020-21,13.90,96.77,59.31
Gujarāt,66,46,86,52,49,93,94,64,72,64,87,50,67,61,82,69,2020-21,33.57,66.22,0.90
Haryāna,69,58,72,64,43,80,100,59,66,68,81,77,51,48,71,67,2020-21,80.24,27.61,92.55
Himāchal Pradesh,80,52,78,74,62,85,100,78,61,78,79,77,62,68,73,74,2020-21,75.57,95.09,69.55
Jhārkhand,36,19,74,45,51,83,77,54,37,65,71,55,25,71,70,56,2020-21,21.43,0.99,38.04
Karnātaka,68,53,78,64,57,85,100,66,64,67,78,89,62,67,76,72,2020-21,47.94,98.03,48.19
Kerala,83,80,72,80,63,89,100,62,60,69,75,65,69,77,80,75,2020-21,96.61,81.07,83.38
Madhya Pradesh,44,43,62,45,55,88,86,60,37,51,81,78,49,84,66,62,2020-21,31.45,81.18,44.58
Mahārāshtra,66,44,83,64,51,90,100,62,66,71,87,82,58,52,69,70,2020-21,12.41,34.72,70.89
Manipur,60,64,68,63,41,87,96,36,35,70,65,89,57,60,69,64,2020-21,54.95,49.05,35.81
Meghālaya,77,37,70,48,51,75,50,63,25,88,51,73,62,64,72,60,2020-21,58.21,22.04,81.27
Mizoram,80,72,79,60,54,85,100,51,32,64,61,87,66,48,81,68,2020-21,94.01,15.44,70.79
Nāgāland,73,64,61,39,48,87,69,48,30,46,48,91,69,63,79,61,2020-21,38.02,66.23,36.95
Odisha,41,42,67,45,46,86,80,48,46,66,70,73,70,83,59,61,2020-21,73.31,73.07,80.31
