STATEs/UTs,year,yearFormatted,Number of human lives lost per 1 crore population due to extreme weather events,Renewable share of installed generating capacity,"CO2 saved from LED bulbs per 1,000 population (Tonnes)",Installed capacity of solar power as proportion of installed grid interactive renewable power,Disaster preparedness score as per Disaster Resilience Index,Percentage of renewable energy out of total installed generating capacity (Including allocated shares),"Disability Adjusted Life Years (DALY) rate attributable to air pollution (per 1,00,000 population)",Percentage of industries complying with environmental standards
Andaman and Nicobar Islands,2019,2019,,30.33571055835797,71.55952380952381,69.89678899082567,,,,
Andaman and Nicobar Islands,2018,2018,,,,,,22.77,,
Andaman and Nicobar Islands,2023–24,2024,,,,,20.5,27.49603122,,37.93103448
Andaman and Nicobar Islands,2020–21,2021,,,104.930174563591,,20.5,,,
Andhra Pradesh,2020–21,2021,15.56734317343173,,43.86758500633881,,19.5,,3007.0,
Andhra Pradesh,2023–24,2024,15.56734317,,,,19.5,40.6089581,3007.0,97.77985511
Andhra Pradesh,2019,2019,5.802961382227963,39.73507420973911,42.76777740876047,33.99334850916453,,,,
Andhra Pradesh,2018,2018,,,,,,30.17,,
Arunachal Pradesh,2019,2019,361.7181612660136,75.12309426351071,38.80576070901034,2.215027441070794,,,,
Arunachal Pradesh,2018,2018,,,,,,100.0,,
Arunachal Pradesh,2020–21,2021,221.0314802411253,,34.18542615484711,,11.5,,1436.0,
Arunachal Pradesh,2023–24,2024,221.0314802,,,,11.5,89.15448427,1436.0,64.22466422
Assam,2020–21,2021,15.56854566283817,,21.47245057602048,,23.0,,3464.0,
Assam,2023–24,2024,15.56854566,,,,23.0,35.05993065,3464.0,76.47385984
Assam,2019,2019,48.76562023773239,30.78978261749585,20.9812030075188,7.743886405469366,,,,
Assam,2018,2018,,,,,,8.29,,
Bihar,2018,2018,,,,,,58.19,,
Bihar,2019,2019,48.92256148633214,8.6690488540526,19.0,33.09695290858726,,,,
Bihar,2023–24,2024,,,,,19.5,7.283254428,4308.0,99.41236069
Bihar,2020–21,2021,,,16.64637212498484,,19.5,,4308.0,
Chandigarh,2023–24,2024,,,,,24.5,71.13264583,,100.0
Chandigarh,2019,2019,,68.50397589766385,28.75049309664694,26.66906993511175,,,,
Chandigarh,2020–21,2021,,,48.10726072607261,,24.5,,,
Chandigarh,2018,2018,,,,,,100.0,,
Chhattisgarh,2023–24,2024,2.458901222,,,,14.0,12.70425718,3667.0,84.92791612
Chhattisgarh,2019,2019,,5.448434523167619,41.88917929952953,30.52714917199974,,,,
