STATEs/UTs,year,yearFormatted,Number of human lives lost per 1 crore population due to extreme weather events,Renewable share of installed generating capacity,"CO2 saved from LED bulbs per 1,000 population (Tonnes)",Installed capacity of solar power as proportion of installed grid interactive renewable power,Disaster preparedness score as per Disaster Resilience Index,Percentage of renewable energy out of total installed generating capacity (Including allocated shares),"Disability Adjusted Life Years (DALY) rate attributable to air pollution (per 1,00,000 population)",Percentage of industries complying with environmental standards
Chhattisgarh,2018,2018,,,,,,2.93,,
Chhattisgarh,2020–21,2021,2.458901222425179,,38.32222109636235,,14.0,,3667.0,
Dadra and Nagar Haveli,2019,2019,,1.917269471170728,37.2965367965368,100.0,,,,
Dadra and Nagar Haveli,2018,2018,,,,,,100.0,,
Dadra and Nagar Haveli,2020–21,2021,,,27.65810593900482,,17.0,,,
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,,,,,14.40755873,6.014955826,,98.63520045
Daman and Diu,2019,2019,,7.49158249158249,40.11497326203209,100.0,,,,
Daman and Diu,2018,2018,,,,,,100.0,,
Daman and Diu,2020–21,2021,,,30.9340206185567,,11.0,,,
Delhi,2019,2019,,12.88856119594665,59.52262130892765,14.56615669503108,,,,
Delhi,2020–21,2021,,,67.57339516012172,,25.0,,1890.0,
Delhi,2018,2018,,,,,,2.21,,
Delhi,2023–24,2024,,,,,25.0,15.34485518,1890.0,
Goa,2018,2018,,,,,,1.56,,
Goa,2023–24,2024,,,,,13.5,7.313112764,1482.0,100.0
Goa,2019,2019,,0.8415220572862221,42.28861596598961,98.9648033126294,,,,
Goa,2020–21,2021,,,67.7847533632287,,13.5,,1482.0,
Gujarat,2020–21,2021,10.6953460390083,,62.16332500891902,,27.0,,3102.0,
Gujarat,2018,2018,,,,,,24.09,,
Gujarat,2023–24,2024,10.69534604,,,,27.0,50.3566036,3102.0,86.24798423
Gujarat,2019,2019,36.04482780331172,31.69049185794806,66.09643864326333,25.22544868940039,,,,
Haryana,2020–21,2021,1.056300834477659,,55.43676530198622,,19.5,,3928.0,
Haryana,2023–24,2024,1.056300834,,,,19.5,30.99182402,3928.0,98.49860649
Haryana,2018,2018,,,,,,3.95,,
Haryana,2019,2019,,21.87637571449283,57.18190073696343,9.79864477854139,,,,
Himachal Pradesh,2019,2019,104.880436302615,94.02207385873716,120.5788676126188,0.7483394253822271,,,,
Himachal Pradesh,2018,2018,,,,,,26.02,,
Himachal Pradesh,2020–21,2021,471.9317556411668,,121.7885498244666,,23.0,,2318.0,
Himachal Pradesh,2023–24,2024,471.9317556,,,,23.0,96.14030708,2318.0,99.78230754
India,2023–24,2024,15.43851808,,,,19.2,43.28257052,3469.0,94.85711434
India,2019,2019,16.02524150825802,35.22258700845054,28.73732853746266,24.3004568312837,,,,
India,2020–21,2021,15.43851808344953,,28.23644118191334,,19.2,,3469.0,
India,2018,2018,,,,,,17.51,,
Jammu and Kashmir,2019,2019,5.579912315663611,73.40960512024598,65.47245696400626,0.7588138228667535,,,,
Jammu and Kashmir,2020–21,2021,23.60106585458698,,66.42284226190476,,12.0,,3029.0,
Jammu and Kashmir,2023–24,2024,23.60106585,,,,12.0,67.73734451,3029.0,99.53254848
Jammu and Kashmir,2018,2018,,,,,,10.19,,
Jharkhand,2019,2019,,13.1892167965714,40.82150944477886,16.09142183685496,,,,
Jharkhand,2018,2018,,,,,,1.41,,
Jharkhand,2023–24,2024,,,,,7.5,12.64939048,3117.0,75.60299418
Jharkhand,2020–21,2021,,,37.15195279136579,,7.5,,3117.0,
Karnataka,2023–24,2024,10.236822,,,,18.0,65.50632035,2871.0,92.55866702
Karnataka,2018,2018,,,,,,40.77,,
Karnataka,2020–21,2021,10.23682200152788,,37.53682859104887,,18.0,,2871.0,
Karnataka,2019,2019,1.112665310274669,62.91838692923228,37.15854917417418,36.0627590124438,,,,
Kerala,2023–24,2024,136.2740337,,,,24.5,48.42397829,1698.0,99.09564337
Kerala,2018,2018,,,,,,13.26,,
Kerala,2020–21,2021,136.2740336542582,,45.63772969018206,,24.5,,1698.0,
Kerala,2019,2019,36.23895408803278,44.79424586902525,44.46786788444027,6.191581621479568,,,,
Ladakh,2020–21,2021,23.60106585458698,,81.40939597315436,,12.0,,3029.0,
Ladakh,2023–24,2024,23.60106585,,,,12.0,,3029.0,99.53254848
Lakshadweep,2018,2018,,,,,,100.0,,
Lakshadweep,2023–24,2024,,,,,9.5,15.62893082,,
Lakshadweep,2020–21,2021,,,309.3823529411765,,9.5,,,
Lakshadweep,2019,2019,,100.0,250.4523809523809,100.0,,,,
Madhya Pradesh,2019,2019,,33.64775680509968,22.6657624443595,26.17892804680785,,,,
Madhya Pradesh,2023–24,2024,3.80503492,,,,16.5,38.20331312,3809.0,98.39635481
Madhya Pradesh,2018,2018,,,,,,23.47,,
Madhya Pradesh,2020–21,2021,3.805034920401124,,21.7780933301909,,16.5,,3809.0,
Maharashtra,2019,2019,11.02798969623649,29.03895299417059,18.54788218071844,13.08028909588609,,,,
Maharashtra,2020–21,2021,8.732113583379327,,18.52507173658646,,27.5,,2816.0,
Maharashtra,2023–24,2024,8.732113583,,,,27.5,37.35444013,2816.0,96.49641928
Maharashtra,2018,2018,,,,,,22.03,,
Manipur,2019,2019,,40.41299071541395,11.80359147025814,3.918017159199237,,,,
Manipur,2020–21,2021,81.16883116883118,,9.94672131147541,,11.0,,1822.0,
Manipur,2018,2018,,,,,,13.21,,
Manipur,2023–24,2024,81.16883117,,,,11.0,39.09988536,1822.0,100.0
Meghalaya,2020–21,2021,28.125,,13.8391502276176,,16.5,,1798.0,
Meghalaya,2018,2018,,,,,,9.92,,
Meghalaya,2019,2019,,73.94506803577121,15.87132867132867,0.0272281720820475,,,,
Meghalaya,2023–24,2024,28.125,,,,16.5,75.25316067,1798.0,97.93253536
Mizoram,2019,2019,,65.51075528118066,59.04835766423357,1.045424427593316,,,,
Mizoram,2018,2018,,,,,,100.0,,
Mizoram,2020–21,2021,,,53.09433962264151,,16.5,,1585.0,
Mizoram,2023–24,2024,,,,,16.5,65.49786977,1585.0,99.60474308
Nagaland,2018,2018,,,,,,100.0,,
Nagaland,2023–24,2024,56.23242737,,,,10.5,49.07300672,1408.0,100.0
Nagaland,2019,2019,91.47609147609148,52.34370405222608,47.11083944580277,1.123595505617978,,,,
Nagaland,2020–21,2021,56.23242736644799,,52.59781619654231,,10.5,,1408.0,
Odisha,2018,2018,,,,,,2.53,,
Odisha,2019,2019,1.86880956830499,30.12209818132217,124.8408055235903,14.86798525476694,,,,
Odisha,2023–24,2024,22.7810783,,,,22.0,34.878315,3201.0,88.43414222
Odisha,2020–21,2021,22.78107830437308,,120.0720634158059,,22.0,,3201.0,
Puducherry,2019,2019,,0.8646311807619562,34.3083511777302,100.0,,,,
Puducherry,2023–24,2024,,,,,21.0,11.70006313,,99.58847737
Puducherry,2020–21,2021,,,40.45959595959596,,21.0,,,
Puducherry,2018,2018,,,,,,0.25,,
Punjab,2019,2019,1.361841209314994,38.8724259389057,4.951586982723986,18.01385417736542,,,,
Punjab,2023–24,2024,4.713963433,,,,18.0,40.77966115,3523.0,96.61654135
Punjab,2020–21,2021,4.713963433112226,,10.41698460728851,,18.0,,3523.0,
Punjab,2018,2018,,,,,,10.01,,
Rajasthan,2020–21,2021,2.21955295592229,,22.64471170763585,,18.5,,4528.0,
Rajasthan,2023–24,2024,2.219552956,,,,18.5,66.05399949,4528.0,89.14591256
Rajasthan,2018,2018,,,,,,38.23,,
Rajasthan,2019,2019,,44.92930910837636,22.62213166640291,39.91772645693909,,,,
Sikkim,2018,2018,,,,,,8.58,,
Sikkim,2023–24,2024,45.52352049,,,,16.0,87.03601824,1620.0,100.0
Sikkim,2019,2019,,90.64432268956304,25.86506746626687,0.0079983546241915,,,,
Sikkim,2020–21,2021,45.52352048558422,,25.44542772861357,,16.0,,1620.0,
Tamil Nadu,2018,2018,,,,,,49.33,,
Tamil Nadu,2023–24,2024,12.85449245,,,,24.5,56.18638998,2412.0,99.34408693
Tamil Nadu,2019,2019,,49.04906088997383,5.96788638689867,19.81783789005151,,,,
Tamil Nadu,2020–21,2021,12.85449244632918,,5.968658062997686,,24.5,,2412.0,
Target,2018,2018,,,,,,40.0,,
Target,2023–24,2024,0.0,,,,50.0,50.0,1442.0,100.0
Target,2019,2019,0.0,40.0,165.29,57.0,,,,
Target,2020–21,2021,0.0,,103.22,,50.0,,1442.0,
Telangana,2023–24,2024,,,,,13.0,39.3389977,2710.0,93.37658827
Telangana,2018,2018,,,,,,16.58,,
Telangana,2020–21,2021,,,6.073416112890842,,13.0,,2710.0,
Telangana,2019,2019,,40.976937878527,6.344376176242666,55.72742314055946,,,,
Tripura,2023–24,2024,55.51349987,,,,22.5,16.03414679,3598.0,88.03532009
Tripura,2018,2018,,,,,,11.07,,
Tripura,2019,2019,43.85964912280701,12.41440393411416,27.61860111505322,10.02023213715259,,,,
Tripura,2020–21,2021,55.51349987383296,,27.03994119088459,,22.5,,3598.0,
Uttar Pradesh,2019,2019,4.96683508752918,25.24978811926959,11.96856919948105,15.94516000085439,,,,
Uttar Pradesh,2018,2018,,,,,,14.75,,
Uttar Pradesh,2020–21,2021,4.708456836903539,,11.91422245623727,,16.5,,4390.0,
Uttar Pradesh,2023–24,2024,4.708456837,,,,16.5,27.460643,4390.0,92.20790681
Uttarakhand,2019,2019,52.96905492054642,70.98065415174463,51.45158946412352,12.7242981215916,,,,
Uttarakhand,2018,2018,,,,,,16.93,,
Uttarakhand,2020–21,2021,62.41519674355495,,52.03278258589037,,19.5,,3300.0,
Uttarakhand,2023–24,2024,62.41519674,,,,19.5,69.34626272,3300.0,99.86531987
West Bengal,2023–24,2024,27.56476684,,,,19.5,18.85998395,3761.0,
West Bengal,2020–21,2021,27.56476683937824,,9.87783486798596,,19.5,,3761.0,
West Bengal,2019,2019,20.88324464138063,17.74058530808766,10.12574706649283,5.082706452254157,,,,
West Bengal,2018,2018,,,,,,4.82,,
