STATEs/UTs,year,yearFormatted,Percentage of rural population having improved source of drinking water,Percentage of rural households with individual household toilets,Percentage of districts verified to be ODF (SBM(G)),Installed sewage treatment capacity as a percentage of sewage generated in urban areas,Percentage ground water withdrawal against availability,Percentage of urban households with individual household toilets,Percentage of schools with functional girls' toilet,Percentage of industries (17 category of highly polluting industries/ grossly polluting/ red category of industries complying with waste water treatment as per CPCB norms.,Percentage of blocks/mandals/talukas over-exploited,Percentage of rural households getting safe and adequate drinking water within premises through Piped Water Supply (PWS),Percentage of individual household toilets constructed against target (SBM(G)),Percentage of ground water withdrawal against availability,Stage of ground water extraction (%)
Goa,2020-21,2021,100.0,,100.0,80.4848484848485,,,100.0,99.21259842519686,0.0,100.0,100.0,31.25,
Gujarat,2020-21,2021,100.0,,100.0,56.88867521367521,,,99.87410511283564,80.60001056356626,10.08064516129032,97.5705186533212,100.0,63.90588235294118,
Gujarat,2018,2018,99.99,100.0,100.0,74.36,67.91,,,,,,,,
Gujarat,2023-24,2024,100.0,,100.0,67.38479952,,,98.0,,9.13,100.0,100.0,,51.68
Gujarat,2019,2019,99.1,100.0,100.0,0.7436076717649915,63.89,138.1979782867604,99.95,78.91000000000001,11.21076233183857,,,,
Haryana,2020-21,2021,99.7143171080101,,100.0,115.7596513075965,,,98.49360658609214,96.85592185592184,60.9375,97.40687836501483,100.0,136.9112814895947,
Haryana,2023-24,2024,100.0,,100.0,103.5242291,,,97.6,,61.54,100.0,100.0,,135.74
Haryana,2018,2018,95.44,100.0,100.0,60.35,135.15,,,,,,,,
Haryana,2019,2019,99.9,100.0,100.0,0.6034677990092003,136.91,59.23454545454545,99.52,97.22333333333334,65.54621848739495,,,,
Himachal Pradesh,2019,2019,98.1,100.0,100.0,1.042909090909091,86.37,41.73566878980892,99.97,97.67,50.0,,,,
Himachal Pradesh,2018,2018,82.04,100.0,100.0,104.29,50.94,,,,,,,,
Himachal Pradesh,2020-21,2021,100.0,,100.0,98.424,,,97.86543434010012,98.92183288409704,50.0,76.57142857142857,100.0,84.78260869565217,
Himachal Pradesh,2023-24,2024,100.0,,100.0,133.6206897,,,98.6,,0.0,100.0,100.0,,34.95
India,2023-24,2024,99.29,,100.0,50.66880389,,,94.7,,11.23,75.75,100.0,,59.26
India,2019,2019,95.5,100.0,88.41201716738198,0.3757506295602764,63.33,97.22,97.43,87.62333333333333,18.01336573511543,,,,
India,2020-21,2021,97.4422283864027,,100.0,38.86460072193925,,,95.33050377000002,88.39795881697631,17.23586687981398,51.36352609874174,100.0,63.32824038706391,
India,2018,2018,71.8,82.72,31.95,37.58,61.53,,,,,,,,
Jammu and Kashmir,2019,2019,90.9,100.0,95.45454545454544,0.4839853747714808,29.47,48.53386615085396,96.86,96.08666666666666,0.0,,,,
Jammu and Kashmir,2020-21,2021,99.8899889988999,,100.0,21.42673107890499,,,89.02087222127949,97.31404958677686,0.0,52.86945361202788,100.0,29.23076923076923,
Jammu and Kashmir,2023-24,2024,100.0,,100.0,33.38345865,,,83.0,,0.0,77.12,100.0,,24.2
Jammu and Kashmir,2018,2018,60.15,72.39,0.0,48.4,24.48,,,,,,,,
Jharkhand,2019,2019,88.0,100.0,83.33333333333334,0.0923149606299212,27.73,134.5875336863052,98.17,51.65666666666666,1.153846153846154,,,,
Jharkhand,2018,2018,94.89,74.77,0.0,9.23,22.54,,,,,,,,
Jharkhand,2023-24,2024,100.0,,100.0,42.31788079,,,97.1,,1.9,51.91,100.0,,31.38
Jharkhand,2020-21,2021,99.70510685539828,,100.0,13.01386001386001,,,98.32573632538568,79.14905607213299,1.153846153846154,35.4947266167083,100.0,27.76801405975395,
Karnataka,2023-24,2024,100.0,,100.0,60.83445491,,,97.9,,18.8,75.79,100.0,,66.26
Karnataka,2018,2018,48.72,87.62,50.0,34.53,65.81,,,,,,,,
Karnataka,2020-21,2021,100.0,,100.0,31.92287977632806,,,95.64405885154532,87.70870337477797,25.56818181818182,59.46817847569798,100.0,69.91210277214334,
Karnataka,2019,2019,95.4,100.0,93.33333333333331,0.3452899126290707,69.87,93.35714285714286,97.4,93.26333333333332,25.56818181818182,,,,
Kerala,2023-24,2024,99.5,,100.0,2.819548872,,,99.5,,0.0,52.46,100.0,,54.55
Kerala,2018,2018,22.26,100.0,100.0,5.99,46.47,,,,,,,,
Kerala,2020-21,2021,99.35308848080132,,100.0,4.286896551724138,,,99.28403826484568,99.221939758108,0.6578947368421052,35.29145798553144,100.0,51.24760076775432,
Kerala,2019,2019,56.7,100.0,100.0,0.0599412225705329,51.27,47.51500230804739,99.31,97.32,0.6578947368421052,,,,
Ladakh,2020-21,2021,100.0,,100.0,21.42673107890499,,,89.02087222127949,97.31404958677686,0.0,29.80392156862746,100.0,29.23076923076923,
Ladakh,2023-24,2024,100.0,,100.0,,,,92.6,,0.0,92.38,100.0,,37.05
Lakshadweep,2018,2018,,,,,67.71,,,,,,,,
Lakshadweep,2023-24,2024,100.0,,100.0,0.0,,,100.0,,0.0,81.05,100.0,,61.723
Lakshadweep,2020-21,2021,,,100.0,0.0,,,100.0,,0.0,,100.0,50.0,
Lakshadweep,2019,2019,75.9,100.0,0.0,0.0,65.99,,100.0,,0.0,,,,
Madhya Pradesh,2019,2019,91.5,100.0,100.0,0.1500404480398258,54.76,127.4888525052808,96.69,96.06,7.028753993610223,,,,
Madhya Pradesh,2023-24,2024,99.99,,100.0,52.77015908,,,95.9,,8.2,61.4,100.0,,58.75
Madhya Pradesh,2018,2018,99.73,87.09,19.61,15.0,56.67,,,,,,,,
Madhya Pradesh,2020-21,2021,99.64891262749796,,100.0,15.46891262667762,,,98.50493915914475,91.1222597884175,7.028753993610223,47.95420888866703,100.0,54.77226573832318,
Maharashtra,2019,2019,96.2,100.0,100.0,0.6337173032052069,54.62,108.9416684515719,99.01,84.49,3.11614730878187,,,,
Maharashtra,2020-21,2021,99.70219925847616,,100.0,69.88726761781237,,,96.80096962573916,92.35783772941532,3.11614730878187,64.38749832487083,100.0,54.61538461538461,
Maharashtra,2023-24,2024,99.82,,100.0,107.8181619,,,94.6,,2.55,85.2,100.0,,53.83
Maharashtra,2018,2018,81.11,100.0,35.29,63.37,54.22,,,,,,,,
Manipur,2019,2019,74.9,100.0,100.0,0.0,1.44,74.86710658968015,98.91,100.0,0.0,,,,
Manipur,2020-21,2021,100.0,,100.0,18.0,,,77.83750258424644,100.0,0.0,69.55445544554456,100.0,2.564102564102564,
Manipur,2018,2018,67.7,82.42,0.0,0.0,0.94,,,,,,,,
Manipur,2023-24,2024,100.0,,100.0,0.0,,,75.4,,0.0,78.19,100.0,,7.99
Meghalaya,2020-21,2021,100.0,,100.0,0.0,,,67.97706797706797,99.37888198757764,0.0,23.48668280871671,100.0,2.439024390243902,
Meghalaya,2018,2018,21.59,100.0,0.0,1.05,0.4,,,,,,,,
Meghalaya,2019,2019,90.9,100.0,100.0,0.0105263157894736,2.28,22.26608764311094,84.05,93.71,0.0,,,,
Meghalaya,2023-24,2024,100.0,,100.0,0.0,,,69.7,,0.0,76.53,100.0,,4.58
Mizoram,2019,2019,96.3,100.0,100.0,0.1111111111111111,3.82,18.07675932120917,99.15,80.0,0.0,,,,
Mizoram,2018,2018,65.77,100.0,62.5,11.11,2.93,,,,,,,,
Mizoram,2020-21,2021,100.0,,100.0,9.803921568627452,,,85.48057259713701,97.14285714285714,0.0,46.16588419405321,100.0,5.263157894736842,
Mizoram,2023-24,2024,100.0,,100.0,9.708737864,,,86.9,,0.0,100.0,100.0,,3.7
Nagaland,2018,2018,50.98,80.85,36.36,,1.71,,,,,,,,
Nagaland,2023-24,2024,100.0,,100.0,0.0,,,77.1,,0.0,86.04,100.0,,3.76
Nagaland,2019,2019,84.5,100.0,36.36363636363637,0.0,0.99,65.7700205338809,97.81,86.96,0.0,,,,
Nagaland,2020-21,2021,100.0,,100.0,0.0,,,90.33078880407125,100.0,0.0,40.14263881813551,100.0,1.01010101010101,
Odisha,2018,2018,81.7,53.58,3.33,34.39,30.08,,,,,,,,
Odisha,2019,2019,91.2,100.0,100.0,0.3439250669045495,42.18,45.4171668350518,98.24,91.71,0.0,,,,
Odisha,2023-24,2024,99.42,,100.0,29.48517941,,,90.2,,0.0,72.97,100.0,,46.33
Odisha,2020-21,2021,98.13119755911518,,100.0,29.48546739984289,,,98.0398443534401,83.16326530612244,0.0,51.73259235044132,100.0,42.19653179190752,
Puducherry,2019,2019,99.4,100.0,100.0,0.5036764705882353,74.33,59.01724496156243,100.0,87.66333333333334,25.0,,,,
Puducherry,2023-24,2024,100.0,,100.0,36.64596273,,,100.0,,12.5,100.0,100.0,,70.27
Puducherry,2020-21,2021,95.88550983899822,,100.0,44.19354838709678,,,98.74125874125876,95.34883720930232,25.0,95.16994633273704,100.0,74.99999999999999,
Puducherry,2018,2018,69.9,59.91,0.0,50.37,87.93,,,,,,,,
Punjab,2019,2019,99.9,100.0,90.9090909090909,0.7484675480769231,165.77,75.13296137961018,99.77,76.02666666666667,78.98550724637681,,,,
Punjab,2023-24,2024,96.46,,100.0,94.28268925,,,99.4,,76.47,100.0,100.0,,163.76
Punjab,2020-21,2021,92.40890140234988,,100.0,88.79428873611846,,,98.06426635694928,94.108457933497,78.98550724637681,80.6811413720288,100.0,165.8016682113068,
Punjab,2018,2018,68.13,100.0,40.91,74.85,148.82,,,,,,,,
Rajasthan,2020-21,2021,92.275953704675,,100.0,29.59794146027662,,,90.44058492262552,65.79211229946524,62.71186440677966,35.24598762194482,100.0,139.8665554628857,
Rajasthan,2023-24,2024,95.45,,100.0,37.51962323,,,92.6,,71.52,47.71,100.0,,148.77
Rajasthan,2018,2018,46.36,100.0,27.27,31.65,139.52,,,,,,,,
Rajasthan,2019,2019,92.6,100.0,100.0,0.3164912280701754,139.88,93.01977718791936,99.2,76.055,74.59677419354838,,,,
Sikkim,2018,2018,31.81,100.0,100.0,132.83,,,,,,,,,
Sikkim,2023-24,2024,100.0,,100.0,57.69230769,,,99.2,,0.0,88.56,100.0,,5.54
Sikkim,2019,2019,100.0,100.0,100.0,1.328333333333333,0.06,67.17076244486452,97.32,50.0,0.0,,,,
Sikkim,2020-21,2021,100.0,,100.0,92.67857142857142,,,99.33829611248966,96.7741935483871,0.0,37.42331288343559,100.0,0.06,
Tamil Nadu,2018,2018,93.87,98.08,3.23,32.14,77.25,,,,,,,,
Tamil Nadu,2023-24,2024,100.0,,100.0,23.23625603,,,99.6,,31.95,81.87,100.0,,73.91
Tamil Nadu,2019,2019,99.8,100.0,100.0,0.3214359707090552,80.94,85.72577068546532,99.89,99.1,40.56189640035118,,,,
Tamil Nadu,2020-21,2021,99.39444337832364,,100.0,25.6771455517133,,,98.3945150204319,98.23253577010942,39.62264150943396,73.05486257702722,100.0,80.93406593406594,
Target,2018,2018,100.0,100.0,100.0,68.79,70.0,,,,,,,,
Target,2023-24,2024,100.0,,100.0,100.0,,,100.0,,0.0,100.0,100.0,,70.0
Target,2019,2019,100.0,100.0,100.0,1.0,70.0,100.0,100.0,100.0,0.0,,,,
Target,2020-21,2021,100.0,,100.0,100.0,,,100.0,100.0,0.0,100.0,100.0,70.0,
Telangana,2023-24,2024,100.0,,100.0,33.87218045,,,78.8,,1.8,100.0,100.0,,38.65
Telangana,2018,2018,49.35,82.28,20.0,41.04,58.03,,,,,,,,
Telangana,2020-21,2021,100.0,,100.0,31.10819539765846,,,96.23259819164711,98.22259839187474,11.98630136986301,99.99518675394688,100.0,65.40016168148746,
Telangana,2019,2019,99.1,100.0,66.66666666666666,0.4104129263913824,65.45,75.93983570519495,98.53,87.03333333333332,15.80135440180587,,,,
Tripura,2023-24,2024,96.46,,100.0,3.375527426,,,74.6,,0.0,78.91,100.0,,9.92
Tripura,2018,2018,55.45,74.46,0.0,0.03,7.27,,,,,,,,
Tripura,2019,2019,87.8,100.0,25.0,0.0003246753246753,7.88,30.72551619624929,99.88,80.0,0.0,,,,
Tripura,2020-21,2021,84.84415213039749,,100.0,4.571428571428571,,,88.1768403974853,100.0,0.0,63.05404632542179,100.0,8.06451612903226,
Uttar Pradesh,2019,2019,99.2,100.0,89.33333333333333,0.3715384615384615,70.18,107.4594032018632,99.72,91.65333333333332,11.09756097560976,,,,
Uttar Pradesh,2018,2018,98.4,64.67,2.67,37.15,73.71,,,,,,,,
Uttar Pradesh,2020-21,2021,99.6276868793552,,100.0,41.19468807906115,,,95.50808471204304,96.26806833114324,10.96385542168675,20.34859364766552,100.0,70.17758726270668,
Uttar Pradesh,2023-24,2024,99.71,,100.0,40.83262738,,,97.1,,7.42,81.07,100.0,,70.76
Uttarakhand,2019,2019,97.2,100.0,100.0,0.3088888888888889,56.83,90.26772793053546,96.82,83.93666666666667,0.0,,,,
Uttarakhand,2018,2018,57.4,100.0,100.0,30.89,50.25,,,,,,,,
Uttarakhand,2020-21,2021,99.2623662134799,,100.0,26.88277087033747,,,95.36293766011956,78.38660578386606,0.0,52.45877928840035,100.0,56.74740484429065,
Uttarakhand,2023-24,2024,100.0,,100.0,82.13716108,,,90.8,,0.0,93.83,100.0,,51.69
West Bengal,2023-24,2024,99.83,,100.0,22.02675463,,,99.9,,0.0,46.64,100.0,,44.81
West Bengal,2020-21,2021,95.47820992503628,,100.0,10.51555723175561,,,98.83997435950457,74.07407407407408,0.0,39.74674779968843,100.0,44.57831325301205,
West Bengal,2019,2019,98.2,100.0,63.63636363636363,0.0893293336190272,44.6,81.6820877771289,98.4,73.155,0.0,,,,
West Bengal,2018,2018,40.5,93.42,45.45,8.93,44.58,,,,,,,,
