STATEs/UTs,year,yearFormatted,Percentage of rural population having improved source of drinking water,Percentage of rural households with individual household toilets,Percentage of districts verified to be ODF (SBM(G)),Installed sewage treatment capacity as a percentage of sewage generated in urban areas,Percentage ground water withdrawal against availability,Percentage of urban households with individual household toilets,Percentage of schools with functional girls' toilet,Percentage of industries (17 category of highly polluting industries/ grossly polluting/ red category of industries complying with waste water treatment as per CPCB norms.,Percentage of blocks/mandals/talukas over-exploited,Percentage of rural households getting safe and adequate drinking water within premises through Piped Water Supply (PWS),Percentage of individual household toilets constructed against target (SBM(G)),Percentage of ground water withdrawal against availability,Stage of ground water extraction (%)
Andaman and Nicobar Islands,2019,2019,98.1,100.0,100.0,0.0,2.74,87.5,100.0,55.77,0.0,,,,
Andaman and Nicobar Islands,2018,2018,88.7,100.0,0.0,,0.98,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,100.0,,100.0,0.0,,,99.5,,0.0,100.0,100.0,,1.37
Andaman and Nicobar Islands,2020-21,2021,100.0,,100.0,0.0,,,99.28,60.0,0.0,88.8888888888889,100.0,3.03030303030303,
Andhra Pradesh,2020-21,2021,99.81125150736644,,100.0,18.64008941877794,,,97.28,96.81697612732096,6.716417910447761,68.51832433282652,100.0,44.16873449131514,
Andhra Pradesh,2023-24,2024,100.0,,100.0,29.59750173,,,96.6,,1.5,73.38,100.0,,28.3
Andhra Pradesh,2019,2019,97.4,100.0,100.0,0.0861267850923023,44.15,129.0984665970449,99.8,95.14333333333332,6.716417910447761,,,,
Andhra Pradesh,2018,2018,62.84,99.21,30.77,8.61,43.83,,,,,,,,
Arunachal Pradesh,2019,2019,98.8,100.0,100.0,0.0,0.28,79.52171074110349,96.08,80.38333333333334,0.0,,,,
Arunachal Pradesh,2018,2018,43.18,100.0,30.0,,0.25,,,,,,,,
Arunachal Pradesh,2020-21,2021,92.63657957244656,,100.0,0.0,,,70.12,70.89337175792507,0.0,34.12509897070466,100.0,0.3745318352059925,
Arunachal Pradesh,2023-24,2024,98.37,,100.0,0.0,,,68.8,,0.0,100.0,100.0,,0.42
Assam,2020-21,2021,74.72472157553639,,100.0,0.1076345431789737,,,75.3,90.0172117039587,0.0,25.69999370792172,100.0,11.25309150865622,
Assam,2023-24,2024,93.17,,100.0,0.0,,,82.6,,0.0,76.87,100.0,,12.54
Assam,2019,2019,91.4,100.0,84.84848484848484,0.0002987197724039,11.25,100.2099841521395,83.38,90.00999999999999,0.0,,,,
Assam,2018,2018,55.5,83.43,0.0,0.03,16.4,,,,,,,,
Bihar,2018,2018,55.84,54.19,0.0,6.63,44.68,,,,,,,,
Bihar,2019,2019,99.9,100.0,34.21052631578947,0.0662852581160191,45.76,126.5576413441398,90.14,97.23666666666666,2.247191011235955,,,,
Bihar,2023-24,2024,99.96,,100.0,27.72407733,,,97.6,,1.5,96.42,100.0,,44.76
Bihar,2020-21,2021,96.28630887827184,,100.0,5.620608899297424,,,97.92,96.84418145956607,2.247191011235955,65.18744321012984,100.0,45.73991031390135,
Chandigarh,2023-24,2024,,,100.0,155.8510638,,,100.0,,0.0,,100.0,,75.41
Chandigarh,2019,2019,100.0,100.0,100.0,1.917682926829268,89.0,142.8571428571429,100.0,100.0,0.0,,,,
Chandigarh,2020-21,2021,,,100.0,123.5668449197861,,,100.0,98.4536082474227,0.0,,100.0,75.0,
Chandigarh,2018,2018,,100.0,100.0,191.77,0.0,,,,,,,,
Chhattisgarh,2023-24,2024,100.0,,100.0,6.068162926,,,97.9,,0.0,77.94,100.0,,47.17
Chhattisgarh,2019,2019,95.2,100.0,100.0,0.0,44.43,108.35,99.46,78.4,0.0,,,,
Chhattisgarh,2018,2018,93.62,100.0,100.0,,36.97,,,,,,,,
Chhattisgarh,2020-21,2021,99.59868138168268,,100.0,6.567992599444958,,,99.15,90.05481597494128,0.0,52.17142038125269,100.0,44.46546830652791,
Dadra and Nagar Haveli,2019,2019,99.6,100.0,100.0,0.0,31.34,67.79563719862227,100.0,86.84,0.0,,,,
Dadra and Nagar Haveli,2018,2018,,100.0,100.0,,31.75,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,,100.0,44.82758620689656,,,94.79768786127168,,0.0,,100.0,28.57142857142857,
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,100.0,,100.0,35.82089552,,,99.6,,100.0,100.0,100.0,,151.12
Daman and Diu,2019,2019,100.0,100.0,100.0,0.0,61.4,175.4464285714286,100.0,86.84,0.0,,,,
Daman and Diu,2018,2018,,100.0,100.0,,71.43,,,,,,,,
Daman and Diu,2020-21,2021,,,100.0,43.06060606060606,,,100.0,78.26086956521739,0.0,,100.0,50.0,
Delhi,2019,2019,99.8,100.0,,0.6483032490974728,119.61,0.7679548318154994,100.0,84.33666666666666,81.48148148148148,,,,
Delhi,2020-21,2021,,,100.0,70.22805429864253,,,100.0,53.44036697247706,64.70588235294117,,100.0,120.0,
Delhi,2018,2018,,,,64.83,125.81,,,,,,,,
Delhi,2023-24,2024,,,100.0,86.96696697,,,100.0,,38.24,,100.0,,99.13
Goa,2018,2018,99.86,76.22,0.0,51.43,33.33,,,,,,,,
Goa,2023-24,2024,100.0,,100.0,59.09090909,,,100.0,,0.0,100.0,100.0,,21.37
Goa,2019,2019,99.8,100.0,0.0,0.5143448275862069,33.5,47.49376558603491,100.0,95.815,0.0,,,,
