STATEs/UTs,year,yearFormatted,Forest cover as a percentage of total geographical area,Decadal change in extent of water bodies within forests from 2005 to 2015 (%),Change in forest area from 2015 to 2017 (%),Change in estimated population of wild elephants over 5-year period (%),Tree cover as a percentage of total geographical area,Combined 15.1+15.2,Percentage increase in area of desertification,Number of wildlife crime cases detected and reported anually,Percentage of area covered under  afforestation schemes to the total  geographical area,Percentage of degraded land over total land area,Number of cases under Wildlife Protection Act (1972) per million hectares of protected area,Percentage of area covered under afforestation schemes to the total geographical area,Percentage change in carbon stock in forest cover
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,37.83,,,,5.48,43.31,,,,6.216592839,,,1.43442623
Daman and Diu,2019,2019,18.46,30.28846153846154,,,9.01,27.47,,,,,,,
Daman and Diu,2018,2018,18.46,30.29,0.79,,,,,,,,,,
Daman and Diu,2020-21,2021,18.46,,,,4.87,23.33,,,0.1351351351351351,7.810810810810811,,,
Delhi,2019,2019,12.97,14.58885941644563,,,7.62,20.59,22.24610278314335,1.0,,,,,
Delhi,2020-21,2021,13.18,,,,8.73,21.91,22.24610278314335,,,4.921105866486851,,,
Delhi,2018,2018,12.97,14.59,0.25,,,,,,,,,,
Delhi,2023-24,2024,13.15,,,,9.912339852,23.06233985,1.86384475,,,4.921105866,4128.0,,-2.750809061
Goa,2018,2018,60.21,10.53,0.51,,,,,,,,,,
Goa,2023-24,2024,60.62,,,,6.591031875,67.21103188,0.986666528,,,11.63722312,355.0,0.036466775,-0.370984292
Goa,2019,2019,60.21,10.5263157894737,,,8.73,68.94,3.494084458698474,3.0,,,,,
Goa,2020-21,2021,60.43,,,,7.34,67.77,3.494084458698474,,0.0040518638573743,11.63722312263641,101.0,,
Gujarat,2020-21,2021,7.57,,,,3.52,11.09,1.827703522367502,,0.9026925663969344,30.0,7.0,,
Gujarat,2018,2018,7.52,19.43,0.02,,,,,,,,,,
Gujarat,2023-24,2024,7.61,,,,2.797028189,10.40702819,-0.132376488,,,30.51761073,3.0,1.141813253,0.48392962
Gujarat,2019,2019,7.52,19.42805265546981,,,4.09,11.61,1.827703522367502,17.0,,,,,
Haryana,2020-21,2021,3.62,,,,3.54,7.16,7.750259867825025,,0.3845109924907265,8.80351488283724,90.0,,
Haryana,2023-24,2024,3.63,,,,3.223106849,6.853106849,7.431467648,,,8.803514883,30.0,0.26881842,-2.235811198
Haryana,2018,2018,3.59,-23.81,0.02,,,,,,,,,,
Haryana,2019,2019,3.59,-23.80952380952381,,,3.2,6.79,7.750259867825025,,,,,,
Himachal Pradesh,2019,2019,27.12,13.18407960199004,,,1.48,28.6,11.80900415902746,11.0,,,,,
Himachal Pradesh,2018,2018,27.12,13.18,0.71,,,,,,,,,,
Himachal Pradesh,2020-21,2021,27.72,,,,1.49,29.21,11.80900415902746,,0.165250660104539,22.98854022596231,6.0,,
Himachal Pradesh,2023-24,2024,27.73,,,,1.212436908,28.94243691,0.253107458,,,22.98854023,8.0,0.305444291,2.263036931
India,2023-24,2024,21.71,,,,2.912514156,24.62251416,1.504071584,,,27.77,16.0,0.403642742,1.111208425
India,2019,2019,21.54,18.2438486456682,,,2.85,24.39,1.98,239.0,,,,,
India,2020-21,2021,21.67,,,,2.89,24.56,1.98,,0.5136191398306722,27.77,15.0,,
India,2018,2018,21.54,18.24,0.21,19.52813958,,,,,,,,,
Jammu and Kashmir,2019,2019,10.46,7.490636704119846,,,3.52,13.98,5.714333846146092,,,,,,
Jammu and Kashmir,2020-21,2021,39.66,,,,3.57,43.23,5.714333846146092,,0.0511663276876833,46.22490505588653,,,
Jammu and Kashmir,2023-24,2024,39.15,,,,6.427577622,45.57757762,6.084410846,,,46.22490506,,0.070470131,2.915721626
Jammu and Kashmir,2018,2018,10.46,7.49,0.11,,,,,,,,,,
Jharkhand,2019,2019,29.55,43.5374149659864,,,3.67,33.22,1.477653964810838,6.0,,,,,
Jharkhand,2018,2018,29.55,43.54,0.04,-1.308139535,,,,,,,,,
Jharkhand,2023-24,2024,29.76,,,,3.596517638,33.35651764,-0.299451182,,,16.55597371,41.0,,3.819405433
Jharkhand,2020-21,2021,29.62,,,,3.33,32.95,1.477653964810838,,0.2851246926589392,16.55597370665864,,,
Karnataka,2023-24,2024,20.19,,,,3.907378344,24.09737834,0.127276651,,,27.4788963,14.0,0.205160826,-1.91993496
Karnataka,2018,2018,19.58,8.51,0.57,-0.313117996,,,,,,,,,
Karnataka,2020-21,2021,20.11,,,,3.26,23.37,0.1448938566416696,,0.323831670933464,27.47889629857501,2.0,,
Karnataka,2019,2019,19.58,8.506363027461482,,,2.98,22.56,0.1448938566416696,7.0,,,,,
Kerala,2023-24,2024,54.7,,,,7.2583136,61.9583136,11.2522294,,,7.658190055,20.0,,-3.490392382
Kerala,2018,2018,52.3,23.51,2.68,-50.59851181,,,,,,,,,
Kerala,2020-21,2021,54.42,,,,7.56,61.98,2.449313382562508,,0.0494955214660763,7.658190054566045,12.0,,
Kerala,2019,2019,52.3,23.50993377483444,,,7.62,59.91999999999999,2.449313382562508,16.0,,,,,
Ladakh,2020-21,2021,1.47,,,,,1.47,5.714333846146092,,0.0511663276876833,46.22490505588653,,,
Ladakh,2023-24,2024,1.35,,,,0.567671298,1.917671298,2.899412333,,,46.22490506,,0.070470131,2.915721626
Lakshadweep,2018,2018,90.33,,0.13,,,,,,,,,,
Lakshadweep,2023-24,2024,90.33,,,,0.166666667,90.49666667,,,,1.4,,0.266666667,-11.01694915
Lakshadweep,2020-21,2021,90.33,,,,0.97,91.3,,,0.0,1.4,,,
Lakshadweep,2019,2019,90.33,,,,6.67,97.0,,,,,,,
Madhya Pradesh,2019,2019,25.11,20.15544041450777,,,2.62,27.73,0.860637994110587,7.0,,,,,
Madhya Pradesh,2023-24,2024,25.14,,,,2.612797322,27.75279732,1.456766856,,,19.17081479,22.0,,3.485996056
Madhya Pradesh,2018,2018,25.11,20.16,0.0,,,,,,,,,,
Madhya Pradesh,2020-21,2021,25.14,,,,2.71,27.85,0.860637994110587,,,19.17081478790081,20.0,,
Maharashtra,2019,2019,16.47,38.70967741935485,,,3.19,19.66,3.575887036577009,14.0,,,,,
Maharashtra,2020-21,2021,16.5,,,,3.51,20.01,3.575887036577009,,0.1215190778420151,35.72454202454885,40.0,,
Maharashtra,2023-24,2024,16.51,,,,3.934835382,20.44483538,3.472416151,,,35.72454202,10.0,0.264372971,2.519364007
Maharashtra,2018,2018,16.47,38.71,-0.01,50.0,,,,,,,,,
Manipur,2019,2019,77.69,81.25,,,0.99,78.67999999999999,1.494875171347495,1.0,,,,,
Manipur,2020-21,2021,75.46,,,,0.77,76.22999999999999,1.494875171347495,,0.2885295830160792,38.29435212970843,44.0,,
Manipur,2018,2018,77.69,81.25,1.18,,,,,,,,,,
Manipur,2023-24,2024,74.34,,,,0.75693107,75.09693107,1.762080142,,,38.29435213,89.0,,-1.002668935
Meghalaya,2020-21,2021,76.33,,,,3.17,79.5,3.352999530099723,,0.1222970261714744,28.37785902180213,40.0,,
Meghalaya,2018,2018,76.45,35.24,-0.52,-3.147432358,,,,,,,,,
Meghalaya,2019,2019,76.45,35.23809523809525,,,2.93,79.38000000000001,3.352999530099723,1.0,,,,,
Meghalaya,2023-24,2024,76.0,,,,3.112042445,79.11204245,12.66892984,,,28.37785902,20.0,0.014267243,1.338372954
Mizoram,2019,2019,86.27,72.22222222222223,,,2.22,88.49,95.52220124539755,1.0,,,,,
Mizoram,2018,2018,86.27,72.22,-2.52,,,,,,,,,,
Mizoram,2020-21,2021,85.41,,,,2.09,87.5,95.52220124539755,,0.1906930411270813,34.92106636307575,8.0,,
Mizoram,2023-24,2024,84.53,,,,2.106161947,86.63616195,47.14461758,,,34.92106636,8.0,,1.331170076
Nagaland,2018,2018,75.33,59.27,-2.71,110.3773585,,,,,,,,,
Nagaland,2023-24,2024,73.9,,,,2.201580312,76.10158031,5.37259209,,,47.05464745,,,-0.43902691
Nagaland,2019,2019,75.33,59.26959168146082,,,2.29,77.62,22.4775184336389,1.0,,,,,
Nagaland,2020-21,2021,75.31,,,,2.19,77.5,22.4775184336389,,,47.05464744556366,,,
Odisha,2018,2018,32.98,18.27,0.57,2.383419689,,,,,,,,,
Odisha,2019,2019,32.98,18.26923076923077,,,2.56,35.54,-0.3342601321369443,8.0,,,,,
Odisha,2023-24,2024,33.5,,,,3.213728349,36.71372835,1.035045627,,,38.32272794,11.0,0.373374351,2.901306536
Odisha,2020-21,2021,33.15,,,,2.98,36.13,-0.3342601321369443,,2.455663521871207,38.32272794415152,4.0,,
Puducherry,2019,2019,10.95,,,,5.51,16.46,,,,,,,
Puducherry,2023-24,2024,10.88,,,,4.693877551,15.57387755,,,,3.365306122,,2.751020408,-4.218362283
Puducherry,2020-21,2021,10.7,,,,4.66,15.36,,,0.1285714285714286,3.365306122448979,,,
Puducherry,2018,2018,10.95,,-0.67,,,,,,,,,,
Punjab,2019,2019,3.65,23.33333333333334,,,3.22,6.87,55.34876228319819,17.0,,,,,
Punjab,2023-24,2024,3.67,,,,2.259640205,5.929640205,16.1323996,,,3.150291887,131.0,0.240220801,1.603717026
Punjab,2020-21,2021,3.67,,,,3.16,6.83,55.34876228319819,,0.1359159683888646,3.150291886740002,26.0,,
Punjab,2018,2018,3.65,23.33,0.13,,,,,,,,,,
Rajasthan,2020-21,2021,4.86,,,,2.37,7.23,-0.4582161034669829,,0.1281940398376573,52.6943627114385,7.0,,
Rajasthan,2023-24,2024,4.87,,,,2.551725549,7.421725549,-1.341819799,,,52.69436271,5.0,0.133415537,2.224929173
Rajasthan,2018,2018,4.84,9.66,0.14,,,,,,,,,,
Rajasthan,2019,2019,4.84,9.661835748792267,,,2.42,7.26,-0.4582161034669829,1.0,,,,,
Sikkim,2018,2018,47.13,20.0,-0.13,,,,,,,,,,
Sikkim,2023-24,2024,47.08,,,,0.549605412,47.62960541,7.442634192,,,10.7511274,,0.195744081,-2.869884575
Sikkim,2019,2019,47.13,20.0,,,0.49,47.62,0.340205397415968,,,,,,
Sikkim,2020-21,2021,47.1,,,,0.51,47.61,0.340205397415968,,0.0514374295377677,10.7511273957159,,,
Tamil Nadu,2018,2018,20.21,61.59,0.06,-31.23287671,,,,,,,,,
Tamil Nadu,2023-24,2024,20.31,,,,3.401506997,23.711507,3.632558628,,,18.76473166,40.0,0.099646317,-1.000544326
Tamil Nadu,2019,2019,20.21,61.5894039735099,,,3.59,23.8,1.795919982065855,1.0,,,,,
Tamil Nadu,2020-21,2021,20.27,,,,3.71,23.98,1.795919982065855,,0.2548592957096725,18.7647316623097,42.0,,
Target,2018,2018,33.0,0.0,0.0,0.0,,,,,,,,,
Target,2023-24,2024,,,,,,33.0,0.0,,,5.456456903,0.0,1.38,0.0
Target,2019,2019,,0.0,,,,33.0,0.0,0.0,,,,,
Target,2020-21,2021,,,,,,33.0,0.0,,2.74,5.46,0.0,,
Telangana,2023-24,2024,18.93,,,,2.54111013,21.47111013,1.10179457,,,28.84999598,,2.629932992,6.680628548
Telangana,2018,2018,18.22,40.99,0.5,,,,,,,,,,
Telangana,2020-21,2021,18.36,,,,2.24,20.6,-1.629801649973951,,4.369076616968691,28.84999598490324,5.0,,
Telangana,2019,2019,18.22,40.9873708381171,,,2.38,20.6,-1.629801649973951,3.0,,,,,
Tripura,2023-24,2024,73.64,,,,2.174327675,75.81432768,2.344850936,,,9.796109098,17.0,,-1.423932051
Tripura,2018,2018,73.68,46.75,-1.56,72.88135593,,,,,,,,,
Tripura,2019,2019,73.68,46.75324675324675,,,2.05,75.73,33.55494314119682,,,,,,
Tripura,2020-21,2021,73.68,,,,2.2,75.88000000000001,33.55494314119682,,0.4632843791722296,9.796109097844743,33.0,,
Uttar Pradesh,2019,2019,6.09,-16.55737704918033,,,3.09,9.18,-16.68785345751535,30.0,,,,,
Uttar Pradesh,2018,2018,6.09,-16.56,0.12,-20.27491409,,,,,,,,,
Uttar Pradesh,2020-21,2021,6.15,,,,3.05,9.2,-16.68785345751535,,0.2138107650418382,11.0,19.0,,
Uttar Pradesh,2023-24,2024,6.15,,,,3.08017333,9.23017333,1.348007877,,,11.86209158,7.0,0.168838823,1.340651742
Uttarakhand,2019,2019,45.43,14.51612903225807,,,1.43,46.86,11.52912475203917,16.0,,,,,
Uttarakhand,2018,2018,45.43,14.52,0.04,36.62704309,,,,,,,,,
Uttarakhand,2020-21,2021,45.44,,,,1.57,47.01,11.52912475203917,,0.4000710506142139,17.67913168670419,63.0,,
Uttarakhand,2023-24,2024,45.44,,,,1.871622759,47.31162276,3.955400129,,,17.67913169,104.0,4.160293925,1.953832715
West Bengal,2023-24,2024,18.96,,,,2.646700919,21.60670092,2.907497473,,,5.560888769,99.0,,5.115602045
West Bengal,2020-21,2021,19.04,,,,2.26,21.3,3.076363363989963,,0.1200310978907518,5.560888768703804,115.0,,
West Bengal,2019,2019,18.98,26.82926829268293,,,2.41,21.39,3.076363363989963,4.0,,,,,
West Bengal,2018,2018,18.98,26.83,0.02,5.409582689,,,,,,,,,
