STATEs/UTs,year,yearFormatted,Forest cover as a percentage of total geographical area,Decadal change in extent of water bodies within forests from 2005 to 2015 (%),Change in forest area from 2015 to 2017 (%),Change in estimated population of wild elephants over 5-year period (%),Tree cover as a percentage of total geographical area,Combined 15.1+15.2,Percentage increase in area of desertification,Number of wildlife crime cases detected and reported anually,Percentage of area covered under  afforestation schemes to the total  geographical area,Percentage of degraded land over total land area,Number of cases under Wildlife Protection Act (1972) per million hectares of protected area,Percentage of area covered under afforestation schemes to the total geographical area,Percentage change in carbon stock in forest cover
Andaman and Nicobar Islands,2019,2019,81.73,-15.14084507042253,,,0.42,82.15,,2.0,,,,,
Andaman and Nicobar Islands,2018,2018,81.73,-15.14,-0.11,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,81.75,,,,0.278821675,82.02882168,,,,6.416292884,32.0,,-2.511849183
Andaman and Nicobar Islands,2020-21,2021,81.74,,,,0.5,82.24,,,0.0864347193599224,6.416292883985937,13.0,,
Andhra Pradesh,2020-21,2021,17.88,,,,2.4,20.28,1.368329887887789,,1.407693534927102,33.81495753767611,5.0,,
Andhra Pradesh,2023-24,2024,18.28,,,,2.871115802,21.1511158,3.448992891,,,33.81495754,8.0,0.912166806,4.871360373
Andhra Pradesh,2019,2019,17.27,50.63897763578276,,,2.3,19.57,1.368329887887789,10.0,,,,,
Andhra Pradesh,2018,2018,17.27,50.64,1.31,58.53658537,,,,,,,,,
Arunachal Pradesh,2019,2019,79.96,-33.50515463917526,,,0.96,80.91999999999999,12.61797111628111,2.0,,,,,
Arunachal Pradesh,2018,2018,79.96,-33.51,-0.23,81.34831461,,,,,,,,,
Arunachal Pradesh,2020-21,2021,79.63,,,,1.01,80.64,12.61797111628111,,,11.73663470379614,4.0,,
Arunachal Pradesh,2023-24,2024,79.33,,,,1.195323788,80.52532379,30.37035593,,,11.7366347,3.0,,-2.613849407
Assam,2020-21,2021,36.11,,,,1.8,37.91,25.23194952946008,,,9.45226803335118,63.0,,
Assam,2023-24,2024,36.09,,,,2.078074403,38.1680744,16.45752977,,,9.452268033,76.0,,0.452713132
Assam,2019,2019,35.83,22.48062015503876,,,1.91,37.73999999999999,25.23194952946008,28.0,,,,,
Assam,2018,2018,35.83,22.48,0.72,1.761565836,,,,,,,,,
Bihar,2018,2018,7.75,-15.38,0.05,,,,,,,,,,
Bihar,2019,2019,7.75,-15.38461538461539,,,2.4,10.15,5.347674663666591,,,,,,
Bihar,2023-24,2024,7.84,,,,2.486114504,10.3261145,7.451976011,,,12.65548039,37.0,0.635568111,2.972537519
Bihar,2020-21,2021,7.76,,,,2.13,9.89,5.347674663666591,,0.3729065556534945,12.65548039038688,9.0,,
Chandigarh,2023-24,2024,20.07,,,,13.15789474,33.22789474,,,,0.5,,0.666666667,-3.174603175
Chandigarh,2019,2019,18.91,2.758620689655178,,,8.77,27.68,,4.0,,,,,
Chandigarh,2020-21,2021,19.32,,,,22.34,41.66,,,1.543859649122807,0.5,,,
Chandigarh,2018,2018,18.91,2.76,-0.09,,,,,,,,,,
Chhattisgarh,2023-24,2024,41.21,,,,3.961033197,45.1710332,4.313496171,,,26.85035357,11.0,0.28899639,3.370536179
Chhattisgarh,2019,2019,41.09,9.058823529411764,,,2.84,43.93000000000001,1.597371424580543,27.0,,,,,
Chhattisgarh,2018,2018,41.09,9.06,-0.01,0.0,,,,,,,,,
Chhattisgarh,2020-21,2021,41.13,,,,3.14,44.27,1.597371424580543,,0.1925927569678679,26.85035357121723,,,
Dadra and Nagar Haveli,2019,2019,42.16,0.5767012687428075,,,6.11,48.27,,,,,,,
Dadra and Nagar Haveli,2018,2018,42.16,0.58,0.2,,,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,42.16,,,,5.75,47.91,,,0.4073319755600814,11.87372708757638,,,
