STATEs/UTs,year,yearFormatted,Annual growth rate of GDP (constant prices) per capita (%),Average unemployment rate per 1000 persons for males and females,Percentage of households with a bank account,"Automated Teller Machines (ATMs) per 1,00,000 population",Annual growth rate of Net Domestic Product (NDP) per capita,Ease of doing business score (EODB),Unemployment rate (%) (15-59 years),Labour Force Participation Rate (LFPR) (%) (15-59 years),"Number of functioning branches of commercial banks per 1,00,000 population",Proportion of women account holders under PMJDY,Percentage of regular wage/ salaried employees in non-agriculture sector without any social security benefit,Percentage of households covered with a bank account under PMJDY against target,Percentage of women account holders in PMJDY,Percentage of households with any usual member with a bank or post office account,Percentage of women account holders in Pradhan Mantri Jan Dhan Yojana (PMJDY)
Puducherry,2020-21,2021,5.831706381008017,,,39.83214977404777,,2.22,8.7,,17.88250484183344,,37.1,100.0,57.07,,
Puducherry,2018,2018,8.35,65.5,100.0,42.2,,,,,,,,,,,
Punjab,2019,2019,,,100.0,,4.710528304738871,54.36,7.7,46.5,22.97442078478639,0.4901358657219703,,,,,
Punjab,2023-24,2024,4.6,,,26.96,,,6.7,57.9,22.0,,67.2,,,95.5,53.47
Punjab,2020-21,2021,4.607965913788219,,,24.39444646939925,,7.61,8.0,,22.93979257099307,,70.3,100.0,52.32,,
Punjab,2018,2018,4.0,120.5,100.0,24.44,,,,,,,,,,,
Rajasthan,2020-21,2021,5.450137530254205,,,14.16250047704461,,25.92,6.2,,10.2112989606788,,65.2,99.99,59.85,,
Rajasthan,2023-24,2024,6.46,,,14.31,,,4.9,64.8,10.55,,62.2,,,97.6,57.71
Rajasthan,2018,2018,5.46,90.5,99.99,12.4,,,,,,,,,,,
Rajasthan,2019,2019,,,99.99,,4.751252180764252,95.7,5.0,50.7,10.27588753494751,0.5762689510595196,,,,,
Sikkim,2018,2018,7.14,240.5,100.0,27.35,,,,,,,,,,,
Sikkim,2023-24,2024,5.44,,,35.4,,,2.4,78.1,25.47,,55.2,,,91.8,52.81
Sikkim,2019,2019,,,100.0,,5.997926261725061,0.14,3.5,60.9,24.13793103448276,0.520453834622146,,,,,
Sikkim,2020-21,2021,4.971977485211661,,,28.72023809523809,,0.0,3.3,,24.55357142857143,,36.2,100.0,50.93,,
Tamil Nadu,2018,2018,4.96,47.0,100.0,32.47,,,,,,,,,,,
Tamil Nadu,2023-24,2024,7.87,,,39.05,,,4.8,62.3,16.68,,48.5,,,96.6,58.59
Tamil Nadu,2019,2019,,,100.0,,6.549786617014615,90.68,7.5,55.1,17.7200614124872,0.5768438887521791,,,,,
Tamil Nadu,2020-21,2021,7.446790439791541,,,35.47336773143225,,13.61,7.2,,16.06601284020639,,45.5,100.0,58.53,,
Target,2018,2018,10.0,14.83,100.0,50.95,,,,,,,,,,,
Target,2023-24,2024,7.0,,,28.9,,,2.9,66.9,21.27,,0.0,,,100.0,50.0
Target,2019,2019,,,100.0,,7.5,100.0,0.0,100.0,28.1,0.5,,,,,
Target,2020-21,2021,7.0,,,42.65,,50.0,3.0,,31.26,,0.0,100.0,50.0,,
Telangana,2023-24,2024,6.52,,,28.27,,,4.6,66.5,15.9,,38.9,,,96.9,58.04
Telangana,2018,2018,7.58,31.0,100.0,22.37,,,,,,,,,,,
Telangana,2020-21,2021,8.448036725258682,,,28.93488917306053,,48.6,8.8,,15.07885763000852,,62.2,100.0,57.45,,
Telangana,2019,2019,,,100.0,,8.893787838904975,98.28,7.6,53.9,25.46680689324329,0.5550537236653964,,,,,
Tripura,2023-24,2024,7.8,,,15.97,,,1.5,60.4,15.04,,51.2,,,96.6,55.92
Tripura,2018,2018,10.58,288.0,100.0,11.0,,,,,,,,,,,
Tripura,2019,2019,,,100.0,,13.33707899292374,22.45,6.8,45.1,14.54637607704004,0.5545180380824994,,,,,
Tripura,2020-21,2021,8.838586356755133,,,14.64621474517566,,0.0,10.5,,14.59673428995547,,33.2,100.0,50.99,,
Uttar Pradesh,2019,2019,,,100.0,,5.433080970101373,92.89,6.2,44.6,9.016795820330303,0.5244230110655103,,,,,
Uttar Pradesh,2018,2018,6.55,133.0,100.0,9.19,,,,,,,,,,,
Uttar Pradesh,2020-21,2021,3.744620776641665,,,9.610756079342684,,50.09,6.2,,8.066185881335425,,59.4,100.0,54.74,,
Uttar Pradesh,2023-24,2024,8.9,,,10.15,,,2.6,56.9,7.99,,65.3,,,96.6,53.64
Uttarakhand,2019,2019,,,100.0,,6.448953617864425,94.24,7.6,43.9,20.35422343324251,0.5111643595245943,,,,,
Uttarakhand,2018,2018,6.33,86.5,100.0,23.92,,,,,,,,,,,
Uttarakhand,2020-21,2021,5.456049478909888,,,24.63537523203394,,19.72,9.5,,20.01237514364006,,40.3,100.0,53.06,,
Uttarakhand,2023-24,2024,6.57,,,25.93,,,4.9,60.1,19.54,,46.0,,,96.9,52.09
West Bengal,2023-24,2024,5.62,,,13.36,,,2.3,61.8,10.07,,61.3,,,95.0,57.42
West Bengal,2020-21,2021,5.356528045215286,,,12.62804572294027,,22.85,4.1,,9.745290066414924,,59.2,100.0,55.17,,
West Bengal,2019,2019,,,100.0,,8.048764393414496,94.59,4.6,50.1,9.768970013037809,0.5221874328433369,,,,,
West Bengal,2018,2018,,69.5,100.0,11.34,,,,,,,,,,,
