STATEs/UTs,year,yearFormatted,Palma Ratio of Household Expenditure in Urban India,Palma Ratio of Household Expenditure in Rural India,Ratio of Transgender Labour force participation rate to Male Labour force participation rate,Scheduled Caste Sub Plan fund utilised (%),Tribal Sub Plan fund utilised (%),Growth rates of household expenditure  per capita among the bottom 40 per cent of the population in rural India,Growth rates of household expenditure  per capita among the bottom 40 per cent of the population in urban India,Gini Coefficient of Household Expenditure in Rural India,Gini Coefficient of Household Expenditure in Urban India,Percentage of seats held by women in Panchayat Raj Institutions (PRIs),Proportion of SC/ST persons in state legislative assemblies,Ratio of transgender  to male Labour Force Participation Rate (LFPR),Percentage of population in the lowest two wealth quintiles *,Percentage of elected women over total seats in the State/UT (Lok Sabha elections),Percentage of SC/ST seats in State Legislative Assemblies*,"Rate of total crimes against SCs (per 1,00,000 SC population)","Rate of total crime against STs (per 1,00,000 ST population)",Gini coefficient,Ratio (in percent) of female workers to male workers working as Professionals and Technical Workers
Andaman and Nicobar Islands,2019,2019,,,,,155.4045194282967,8.96,25.25,,,,,,,,,,,,
Andaman and Nicobar Islands,2018,2018,1.76,0.98,,,155.4,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,,,,,,,,,,35.66433566,,,,,,,10.5,0.13,96.5
Andaman and Nicobar Islands,2020-21,2021,,,,,,,,,,35.66,,,16.0,0.0,,,10.5,,
Andhra Pradesh,2020-21,2021,,,,,,,,,,50.0,,0.99,22.4,16.0,20.57142857142857,24.5,12.5,,
Andhra Pradesh,2023-24,2024,,,,,,,,,,50.0,,,,,20.57142857,27.4,15.1,0.13,52.7
Andhra Pradesh,2019,2019,,,,57.07987228634697,60.42109856542847,27.32,16.3,0.245,0.301,50.0,20.57142857142857,0.9923175416133164,,,,,,,
Andhra Pradesh,2018,2018,1.06,0.73,0.99,57.08,60.42,,,,,,,,,,,,,,
Arunachal Pradesh,2019,2019,,,,,,-8.63,-0.81,0.346,0.365,33.07,98.33333333333331,1.386494252873563,,,,,,,
Arunachal Pradesh,2018,2018,1.49,1.34,1.39,,,,,,,,,,,,,,,,
Arunachal Pradesh,2020-21,2021,,,,,,,,,,38.99,,1.39,43.6,0.0,98.33333333333331,,0.0,,
Arunachal Pradesh,2023-24,2024,,,,,,,,,,38.98539913,,,,,98.33333333,,0.0,0.21,61.7
Assam,2020-21,2021,,,,,,,,,,54.6,,0.6,62.5,7.14,19.04761904761905,0.9,0.1,,
Assam,2023-24,2024,,,,,,,,,,54.60491889,,,,,19.04761905,0.6,0.2,0.25,53.3
Assam,2019,2019,,,,80.72172994811991,88.47560975609755,5.3,8.77,0.221,0.326,50.0,19.04761904761905,0.6024258760107817,,,,,,,
Assam,2018,2018,1.33,0.72,0.6,80.72,88.48,,,,,,,,,,,,,,
Bihar,2018,2018,1.08,0.64,0.59,85.42,89.59,,,,,,,,,,,,,,
Bihar,2019,2019,,,,85.42000779507889,89.59175257731958,26.27,10.73,0.198,0.291,51.64,16.46090534979424,0.5945945945945946,,,,,,,
Bihar,2023-24,2024,,,,,,,,,,52.02053114,,,,,16.46090535,39.3,10.9,0.22,31.5
Bihar,2020-21,2021,,,,,,,,,,52.02,,0.59,75.2,7.5,16.46090534979424,39.5,7.3,,
Chandigarh,2023-24,2024,,,,,,,,,,,,,,,,2.0,,0.11,75.3
Chandigarh,2019,2019,,,,100.0,,-20.6,-19.97,,,,,,,,,,,,
Chandigarh,2020-21,2021,,,,,,,,,,34.32,,,3.4,100.0,,0.5,,,
Chandigarh,2018,2018,1.74,1.18,,100.0,,,,,,,,,,,,,,,
Chhattisgarh,2023-24,2024,,,,,,,,,,54.78661309,,,,,43.33333333,9.9,6.6,0.2,67.0
Chhattisgarh,2019,2019,,,,71.32443970117396,87.35942516319444,13.42,-14.94,0.234,0.364,55.14,43.33333333333334,0.8056930693069307,,,,,,,
Chhattisgarh,2018,2018,1.47,0.73,0.81,71.32,87.36,,,,,,,,,,,,,,
Chhattisgarh,2020-21,2021,,,,,,,,,,54.79,,0.81,59.0,27.27,43.33333333333334,10.4,5.5,,
Dadra and Nagar Haveli,2019,2019,,,,,,-4.83,14.7,,,34.56,,,,,,,,,
Dadra and Nagar Haveli,2018,2018,0.87,0.71,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,,,,,,,,,31.97,,,39.3,0.0,,16.2,0.0,,
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,,,,,,,,,,41.00294985,,,,,,0.0,2.6,0.22,58.2
Daman and Diu,2019,2019,,,,100.0,126.9230769230769,31.97,22.8,,,28.87,,,,,,,,,
Daman and Diu,2018,2018,0.74,0.85,,100.0,126.92,,,,,,,,,,,,,,
Daman and Diu,2020-21,2021,,,,,,,,,,47.92,,,16.0,0.0,,16.3,0.0,,
Delhi,2019,2019,,,,91.13893282277532,,22.1,4.83,,0.349,,17.14285714285714,0.6691616766467066,,,,,,,
Delhi,2020-21,2021,,,,,,,,,,,,0.67,2.3,14.29,17.14285714285714,2.7,,,
Delhi,2018,2018,1.26,0.63,0.67,91.14,,,,,,,,,,,,,,,
Delhi,2023-24,2024,,,,,,,,,,,,,,,17.14285714,4.6,,0.08,28.5
Goa,2018,2018,0.87,0.84,,29.5,30.45,,,,,,,,,,,,,,
Goa,2023-24,2024,,,,,,,,,,36.72025723,,,,,2.5,31.4,0.7,0.11,90.5
Goa,2019,2019,,,,29.50191570881226,30.44574999593145,-9.25,-6.33,,,32.97,2.5,,,,,,,,
Goa,2020-21,2021,,,,,,,,,,36.72,,,5.6,0.0,2.5,11.8,1.3,,
Gujarat,2020-21,2021,,,,,,,,,,49.96,,0.39,25.2,23.08,21.97802197802198,34.8,3.6,,
Gujarat,2018,2018,0.92,0.79,0.39,82.75,89.04,,,,,,,,,,,,,,
