STATEs/UTs,year,yearFormatted,Percentage ground water withdrawal against availability,"Percentage use of nitrogenous fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",Per capita hazard waste generated,Quantity of hazardous waste recycled/utilized to total hazardous waste generated (%),Municipal Solid Waste (MSW) treated against MSW generated,"Installed Capacity of Grid Interactive Bio Power per 100,000 population",Percentage of wards with 100% source segregation,Per capita fossil fuel consumption (in kg.),"Hazardous waste generated per 1,000 population (Metric tonnes/Annum)","Plastic waste generated per 1,000 population (Tonnes/Annum)",Percentage of Bio Medical Waste (BMW) treated to total quantity of BMW generated,"Installed Capacity of Grid Interactive Bio Power per 10,00,000 population"
Kerala,2020-21,2021,,40.21673359370703,,32.63789305965603,,,,189.9,3.048167299945719,3.808702111247607,58.66638583286073,0.0641823116941868
Kerala,2019,2019,,43.55917417854027,0.0010781792191047,0.0910311825659625,29.12621359223301,0.0019867001462432,95.5316742081448,,,,,
Ladakh,2020-21,2021,,62.48936532244343,,1264.493554327808,,,,119.7,0.2066996574038828,2.616472782641797,95.47301969707112,
Ladakh,2023-24,2024,,,,,,,,683.533498,,,,
Lakshadweep,2018,2018,67.71,,,,,,,,,,,
Lakshadweep,2023-24,2024,,0.0,,0.0,,,,312.1374201,,7.691176471,,
Lakshadweep,2020-21,2021,,0.0,,0.0,,,,235.0,0.7164179104477613,2.208955223880597,20.87286527514232,
Lakshadweep,2019,2019,,0.0,0.0,0.0,,,,,,,,
Madhya Pradesh,2019,2019,,64.18622160873385,0.0016164455858747,0.0315579127581874,,0.1488884230773973,93.58479782826116,,,,,
Madhya Pradesh,2023-24,2024,,61.42405147,,83.75941419,,,,100.0147227,,1.647829367,,
Madhya Pradesh,2018,2018,56.67,,,,,,,,,,,
Madhya Pradesh,2020-21,2021,,63.0378649954485,,67.05537702470218,,,,110.3,3.025076407556063,0.8877685311337776,91.80039553876696,1.465584144230195
Maharashtra,2019,2019,,54.96296296296295,0.0031787051534028,0.0127588843222131,31.97969543147208,2.03391889065843,74.91122644086316,,,,,
Maharashtra,2020-21,2021,,50.69814957872774,,11.57225142751132,,,,187.0,9.23612129400038,3.374467629395919,99.54500304399372,20.9983343575148
Maharashtra,2023-24,2024,,50.83605214,,13.52382342,,,,172.5364139,,2.510902623,,
Maharashtra,2018,2018,54.22,,,,,,,,,,,
Manipur,2019,2019,,68.45444059976931,,,,,39.21568627450981,,,,,
Manipur,2020-21,2021,,52.85359801488833,,,,,,88.5,,4.043441558441558,79.37482458602301,
Manipur,2018,2018,0.94,,,,,,,,,,,
Manipur,2023-24,2024,,77.46365105,,0.0,,,,76.64277331,,3.271832328,,
Meghalaya,2020-21,2021,,0.0,,1.848049281314168,,,,166.0,0.1521875,0.3946875,100.0,4.227941176470589
Meghalaya,2018,2018,0.4,,,,,,,,,,,
Meghalaya,2019,2019,,0.0,4.275239706711788e-05,0.0724947939980149,26.44230769230769,0.4825174825174826,23.68421052631579,,,,,
Meghalaya,2023-24,2024,,0.0,,0.0,,,,182.9877439,,0.058374083,,
Mizoram,2019,2019,,75.69930069930071,0.0,0.0,0.0,,56.40243902439024,,,,,
Mizoram,2018,2018,2.93,,,,,,,,,,,
Mizoram,2020-21,2021,,64.23562412342217,,50.0,,,,127.2,1.689189189189189e-05,0.011241554054054,100.0,
Mizoram,2023-24,2024,,98.41269841,,0.0,,,,157.9734629,,1.251661157,,
Nagaland,2018,2018,1.71,,,,,,,,,,,
Nagaland,2023-24,2024,,100.0,,0.0,,,,96.81950556,,0.258936755,,
Nagaland,2019,2019,,47.35023041474655,4.201680672268908e-06,1.0,,,8.11965811965812,,,,,
Nagaland,2020-21,2021,,0.0,,50.0,,,,77.9,0.0093720712277413,0.1256701030927835,100.0,
Odisha,2018,2018,30.08,,,,,,,,,,,
Odisha,2019,2019,,61.17667782279372,0.0140233480072506,0.0069899484672629,1.16504854368932,0.1362945914844649,41.15612648221344,,,,,
Odisha,2023-24,2024,,59.87435732,,51.21984228,,,,158.9757247,,1.125524675,,
Odisha,2020-21,2021,,60.63473904979807,,62.80781526763728,,,,141.4,20.6789654710323,2.01319917809443,100.0,1.302540415704388
Puducherry,2019,2019,,72.48305905130688,,0.1088230403455257,0.0,,31.9672131147541,,,,,
Puducherry,2023-24,2024,,73.9965096,,51.1869536,,,,507.2516585,,8.191393706,,
Puducherry,2020-21,2021,,71.63355408388522,,33.12482468443198,,,,435.6,24.07157326130993,5.694125590817015,135.0525487291078,
Puducherry,2018,2018,87.93,,,,,,,,,,,
Punjab,2019,2019,,76.80048242591317,0.0039670960428689,0.1245160083886911,0.0834829443447037,1.097663050756663,79.15465898174831,,,,,
Punjab,2023-24,2024,,79.09898681,,73.16324753,,,,222.1255716,,3.582525877,,
Punjab,2020-21,2021,,78.89437528055412,,18.01651267937881,,,,255.0,4.110845483012897,4.020830330987575,100.0,16.04426919381027
Punjab,2018,2018,148.82,,,,,,,,,,,
Rajasthan,2020-21,2021,,70.62689386486166,,99.187497395825,,,,166.2,8.147038855232923,1.367040683100063,75.9755429895108,1.542444249386203
Rajasthan,2023-24,2024,,72.39402007,,95.23337812,,,,136.9628397,,0.841031308,,
Rajasthan,2018,2018,139.52,,,,,,,,,,,
